form_name,single_family_residential,multi_family_residential,commercial,office,industrial,warehousing,tcu,density_type,group,glut
mix_ware_res,0,0.35,0,0,0,0.65,0,far,mix_ware_res,mixed_use
com,0,0,1,0,0,0,0,far,com,commercial:mixed_use
ind,0,0,0,0,1,0,0,far,ind,industrial
mfr_apartment,0,1,0,0,0,0,0,units_per_acre,mfr_apartment,multi_family_residential:mixed_use
mix_com_ind,0,0,0.32,0,0.68,0,0,far,mix_com_ind,mixed_use
mix_com_off,0,0,0.5,0.5,0,0,0,far,mix_com_off,mixed_use
mix_com_res1,0,0.5,0.5,0,0,0,0,far,mix_com_res,mixed_use
mix_com_res2,0,0.75,0.25,0,0,0,0,far,mix_com_res,mixed_use
mix_com_res3,0,0.6529653,0.34703472,0,0,0,0,far,mix_com_res,mixed_use
mix_com_res4,0,0.7,0.3,0,0,0,0,far,mix_com_res,mixed_use
mix_com_res5,0,0.8,0.2,0,0,0,0,far,mix_com_res,mixed_use
mix_com_res6,0,0.8421158,0.15788417,0,0,0,0,far,mix_com_res,mixed_use
mix_com_ware,0,0,0.5,0,0,0.5,0,far,mix_com_ware,mixed_use
mix_ind_ware,0,0,0,0,0.65,0.35,0,far,mix_ind_ware,mixed_use
mix_off_ind,0,0,0,0.31,0.69,0,0,far,mix_off_ind,mixed_use
mix_off_res1,0,0.55,0,0.45,0,0,0,far,mix_off_res,mixed_use
mix_off_res2,0,0.33,0,0.67,0,0,0,far,mix_off_res,mixed_use
mix_off_ware,0,0,0,0.37,0,0.63,0,far,mix_off_ware,mixed_use
off,0,0,0,1,0,0,0,far,off,mixed_use:office
sfr,1,0,0,0,0,0,0,units_per_acre,sfr,single_family_residential
tcu,0,0,0,0,0,0,1,far,tcu,industrial
ware,0,0,0,0,0,1,0,far,ware,industrial
